"","ISO3","ADMIN","REGION","continent","GEO3major","GEO3","IMAGE24","GLOCAF","Stern","SRESmajor","SRES","GBD","AVOIDnumeric","AVOIDname","LDC","SID","LLDC"
"93","GTM","Guatemala","South America","South America","Latin America and the Caribbean","Meso-America","Rest Central America","Rest of Central Am","Central America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central",27,"Central America","other","other","other"
"94","GGY","Guernsey","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",13,"UK","other","other","other"
"95","GIN","Guinea","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","other"
"96","GNB","Guinea Bissau","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","SID","other"
"97","GUY","Guyana","South America","South America","Latin America and the Caribbean","South America","Rest South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Caribbean",26,"South America","other","SID","other"
"98","HTI","Haiti","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","LDC","SID","other"
"99","HMD","Heard Island and McDonald Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","HND","Honduras","South America","South America","Latin America and the Caribbean","Meso-America","Rest Central America","Rest of Central Am","Central America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central",27,"Central America","other","other","other"
"101","HKG","Hong Kong S.A.R.","Asia","Eurasia","Asia and the Pacific","NW Pacific and East Asia","Korea","China","East Asia","ASIA","Other Pacific Asia (PAS)","Asia Pacific, High Income",12,"China","other","other","other"
"102","HUN","Hungary","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"103","ISL","Iceland","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"104","IND","India","Asia","Eurasia","Asia and the Pacific","South Asia","India+","India","South Asia","ASIA","South Asia (SAS)","Asia, South",6,"India","other","other","other"
"105","IOA","Indian Ocean Territories","Australia","Australia","Asia and the Pacific","Australia and New Zealand","Oceania","Oceania","Australasia","OECD90","Pacific OECD (PAO)","Australasia",10,"Australia","other","other","other"
"106","IDN","Indonesia","Asia","Eurasia","Asia and the Pacific","Southeast Asia","Indonesia+","South East Asia","East Asia","ASIA","Other Pacific Asia (PAS)","Asia, Southeast",11,"Indonesia","other","other","other"
"107","IRN","Iran","Asia","Eurasia","Asia and the Pacific","South Asia","Middle East","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",30,"Middle East","other","other","other"
"108","IRQ","Iraq","Asia","Eurasia","West Asia","Mashriq","Middle East","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",30,"Middle East","other","other","other"
"109","IRL","Ireland","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"110","IMN","Isle of Man","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",13,"UK","other","other","other"
"111","ISR","Israel","Europe","Eurasia","Europe","Western Europe","Middle East","Europe","Europe","ALM","Middle East and North Africa (MEA)","Europe, Western",25,"Europe","other","other","other"
"112","ITA","Italy","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",15,"Italy","other","other","other"
"113","CIV","Ivory Coast","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","other","other","other"
"114","JAM","Jamaica","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
